cache_invalidation_method_compress,cache_invalidation_method_decompress,page_number,iteration_number,compressed_size,uncompressed_size,compression_time,decompression_time
1,0,1,0,280,4096,50535,16857
1,0,2,0,504,4096,23897,18768
1,0,3,0,676,4096,29307,22474
1,0,4,0,320,4096,21125,16889
1,0,5,0,1284,4096,42701,30174
1,0,6,0,844,4096,34190,26851
1,0,7,0,1856,4096,52050,35414
1,0,8,0,1984,4096,41483,29742
1,0,9,0,1084,4096,34934,26391
1,0,10,0,1436,4096,33604,24231
1,0,11,0,2788,4096,56391,41860
1,0,12,0,1640,4096,65317,47274
1,0,13,0,1696,4096,53000,38190
1,0,14,0,2400,4096,59612,42064
1,0,15,0,1532,4096,47500,36332
1,0,16,0,484,4096,31769,21093
1,0,17,0,496,4096,24315,18612
1,0,18,0,676,4096,28350,22204
1,0,19,0,1052,4096,30052,22380
1,0,20,0,3800,4096,34434,23936
1,0,21,0,1364,4096,45659,33502
1,0,22,0,1232,4096,38254,28365
1,0,23,0,1348,4096,49325,37350
1,0,24,0,740,4096,31133,23512
1,0,25,0,892,4096,39996,29454
1,0,26,0,1180,4096,28828,20701
1,0,27,0,2276,4096,43534,34042
1,0,28,0,1976,4096,55033,40635
1,0,29,0,984,4096,30981,23972
1,0,30,0,1348,4096,37572,27211
1,0,31,0,460,4096,24904,19550
1,0,32,0,1900,4096,51228,36751
1,0,33,0,1776,4096,61747,43043
1,0,34,0,308,4096,19968,16699
1,0,35,0,1108,4096,40291,30457
1,0,36,0,2052,4096,57353,38378
1,0,37,0,1352,4096,36823,25870
1,0,38,0,1312,4096,41903,31207
1,0,39,0,4368,4096,28443,18458
1,0,40,0,4368,4096,28344,18533
1,0,41,0,4356,4096,28977,18996
1,0,42,0,4348,4096,29155,19309
1,0,43,0,4368,4096,28104,18423
1,0,44,0,4368,4096,28075,18548
1,0,45,0,4368,4096,28306,18452
1,0,46,0,4368,4096,28210,18383
1,0,47,0,4368,4096,28013,18463
1,0,48,0,4368,4096,28277,18451
1,0,49,0,4368,4096,28188,18221
1,0,50,0,4368,4096,28158,18301
1,0,51,0,4368,4096,28004,18390
1,0,52,0,4368,4096,15365,9814
1,0,53,0,4368,4096,15603,9805
1,0,54,0,4368,4096,15252,9829
1,0,55,0,4368,4096,15300,9722
1,0,56,0,4368,4096,15325,9719
1,0,57,0,4368,4096,15342,9772
1,0,58,0,4368,4096,15309,9778
1,0,59,0,4368,4096,15370,9769
1,0,60,0,4368,4096,15312,9901
1,0,61,0,4368,4096,15295,9810
1,0,62,0,4368,4096,15302,9761
1,0,63,0,4368,4096,15079,9801
1,0,64,0,4368,4096,15376,9804
1,0,65,0,4368,4096,17350,9831
1,0,66,0,4368,4096,15449,9805
1,0,67,0,4368,4096,15265,9832
1,0,68,0,4368,4096,15203,9789
1,0,69,0,4368,4096,15267,9763
1,0,70,0,4368,4096,15467,9714
1,0,71,0,4368,4096,15338,9813
1,0,72,0,4368,4096,15193,9821
1,0,73,0,2320,4096,13317,9427
1,0,74,0,4368,4096,15660,9812
1,0,75,0,4368,4096,15163,9773
1,0,76,0,4368,4096,15359,9760
1,0,77,0,4368,4096,15190,9826
1,0,78,0,4368,4096,15413,9805
1,0,79,0,4356,4096,15610,10056
1,0,80,0,4372,4096,15495,9953
1,0,81,0,4368,4096,15266,9855
1,0,82,0,916,4096,19746,15135
1,0,83,0,4368,4096,15405,9823
1,0,84,0,4368,4096,15362,9877
1,0,85,0,4368,4096,17629,9780
1,0,86,0,4368,4096,15297,9808
1,0,87,0,4368,4096,15642,9822
1,0,88,0,4368,4096,15710,9790
1,0,89,0,4368,4096,15417,9791
1,0,90,0,4368,4096,15220,9809
1,0,91,0,4368,4096,15266,9770
1,0,92,0,4368,4096,15291,9812
1,0,93,0,4368,4096,15217,9763
1,0,94,0,4368,4096,15258,9763
1,0,95,0,4368,4096,15347,9757
1,0,96,0,2320,4096,13329,9346
1,0,97,0,4368,4096,15701,9764
1,0,98,0,4368,4096,15250,9718
1,0,99,0,4368,4096,15317,9788
1,0,100,0,4368,4096,15132,9829
1,0,101,0,4368,4096,15403,9834
1,0,102,0,4368,4096,15344,10130
1,0,103,0,4368,4096,15409,9723
1,0,104,0,4368,4096,15301,9771
1,0,105,0,4368,4096,17358,9826
1,0,106,0,980,4096,17076,13526
1,0,107,0,4368,4096,15391,9856
1,0,108,0,2320,4096,13595,9294
1,0,109,0,4368,4096,15265,9845
1,0,110,0,4368,4096,15524,9766
1,0,111,0,4368,4096,15562,9842
1,0,112,0,4368,4096,15333,9761
1,0,113,0,4372,4096,15385,9926
1,0,114,0,4368,4096,15275,9779
1,0,115,0,4368,4096,15401,9776
1,0,116,0,4368,4096,15263,9821
1,0,117,0,3408,4096,14151,9548
1,0,118,0,4368,4096,15242,9812
1,0,119,0,4372,4096,15341,9840
1,0,120,0,4368,4096,15164,9725
1,0,121,0,4368,4096,15287,9810
1,0,122,0,4368,4096,15630,9769
1,0,123,0,4368,4096,15149,9776
1,0,124,0,4368,4096,15707,9774
1,0,125,0,4368,4096,17480,9885
1,0,126,0,4368,4096,15435,9808
1,0,127,0,4368,4096,15324,9831
1,0,128,0,3408,4096,14050,9469
1,0,129,0,4368,4096,15627,9801
1,0,130,0,4368,4096,15414,9872
1,0,131,0,4372,4096,15559,9926
1,0,132,0,4368,4096,15284,9814
1,0,133,0,4368,4096,15327,9821
1,0,134,0,4368,4096,15326,9819
1,0,135,0,4368,4096,15139,9768
1,0,136,0,4368,4096,15212,9747
1,0,137,0,4364,4096,15864,10012
1,0,138,0,4368,4096,15177,9750
1,0,139,0,4368,4096,15450,9809
1,0,140,0,4368,4096,15199,9824
1,0,141,0,4368,4096,15228,9754
1,0,142,0,4368,4096,15231,9818
1,0,143,0,4368,4096,15422,9754
1,0,144,0,4368,4096,15430,9776
1,0,145,0,4368,4096,17587,9806
1,0,146,0,4368,4096,15557,9775
1,0,147,0,4368,4096,15593,9921
1,0,148,0,4368,4096,15385,9825
1,0,149,0,4368,4096,15182,9817
1,0,150,0,4368,4096,15502,9777
1,0,151,0,4368,4096,15878,9790
1,0,152,0,4368,4096,15352,9779
1,0,153,0,4368,4096,15418,9780
1,0,154,0,1072,4096,20843,16122
1,0,155,0,4368,4096,15566,9843
1,0,156,0,4368,4096,15398,9798
1,0,157,0,4332,4096,16355,10651
1,0,158,0,4368,4096,15315,9820
1,0,159,0,4368,4096,15280,9821
1,0,160,0,4368,4096,15243,9832
1,0,161,0,4368,4096,15130,9781
1,0,162,0,892,4096,16705,13163
1,0,163,0,4368,4096,15415,9832
1,0,164,0,4368,4096,15446,9994
1,0,165,0,888,4096,16938,12597
1,0,166,0,4368,4096,15446,9859
1,0,167,0,4368,4096,15656,9797
1,0,168,0,4368,4096,15274,9819
1,0,169,0,4368,4096,15619,9756
1,0,170,0,900,4096,15794,11675
1,0,171,0,4368,4096,15621,9803
1,0,172,0,4368,4096,15296,9823
1,0,173,0,4368,4096,15163,9823
1,0,174,0,4368,4096,15359,9823
1,0,175,0,4368,4096,15225,9810
1,0,176,0,4368,4096,15142,9777
1,0,177,0,4368,4096,15349,9794
1,0,178,0,4368,4096,15309,9788
1,0,179,0,4368,4096,15222,9709
1,0,180,0,4368,4096,15270,9804
