cache_invalidation_method_compress,cache_invalidation_method_decompress,page_number,iteration_number,compressed_size,uncompressed_size,compression_time,decompression_time
1,0,1,0,34,4096,60422,20820
1,0,2,0,503,4096,15200,8316
1,0,3,0,740,4096,22929,11002
1,0,4,0,103,4096,8051,5154
1,0,5,0,1649,4096,37227,14378
1,0,6,0,870,4096,25396,12094
1,0,7,0,1178,4096,32454,12939
1,0,8,0,1101,4096,28132,12427
1,0,9,0,1216,4096,28690,10977
1,0,10,0,2132,4096,35688,14739
1,0,11,0,2110,4096,45058,17137
1,0,12,0,1820,4096,47323,14398
1,0,13,0,1883,4096,39097,13099
1,0,14,0,2667,4096,59079,13595
1,0,15,0,1331,4096,36229,12514
1,0,16,0,394,4096,16086,8232
1,0,17,0,491,4096,15532,7840
1,0,18,0,740,4096,22083,10570
1,0,19,0,1131,4096,26498,11788
1,0,20,0,1220,4096,25847,8705
1,0,21,0,1606,4096,39101,13661
1,0,22,0,812,4096,23862,9688
1,0,23,0,1181,4096,33750,11985
1,0,24,0,630,4096,17924,6845
1,0,25,0,1137,4096,39632,14101
1,0,26,0,1952,4096,28426,17809
1,0,27,0,2379,4096,42439,11901
1,0,28,0,1522,4096,39769,12144
1,0,29,0,1099,4096,25191,8374
1,0,30,0,919,4096,26923,11298
1,0,31,0,293,4096,11823,8204
1,0,32,0,1626,4096,38000,12166
1,0,33,0,1896,4096,46921,13560
1,0,34,0,84,4096,7622,6542
1,0,35,0,1271,4096,36721,12719
1,0,36,0,1603,4096,42948,12884
1,0,37,0,944,4096,23398,14310
1,0,38,0,811,4096,24926,9617
1,0,39,0,4114,4096,9710,4279
1,0,40,0,4114,4096,9261,3887
1,0,41,0,4112,4096,12297,4555
1,0,42,0,4114,4096,9273,3821
1,0,43,0,4114,4096,9530,3725
1,0,44,0,4114,4096,9989,3704
1,0,45,0,4114,4096,9440,3731
1,0,46,0,4114,4096,9522,3717
1,0,47,0,4114,4096,9191,3705
1,0,48,0,4114,4096,9209,3689
1,0,49,0,4114,4096,9277,3687
1,0,50,0,4114,4096,9067,3729
1,0,51,0,4114,4096,9131,3732
1,0,52,0,4114,4096,9028,3705
1,0,53,0,4114,4096,9033,3681
1,0,54,0,4114,4096,9049,3659
1,0,55,0,4114,4096,9063,3737
1,0,56,0,4114,4096,9306,3765
1,0,57,0,4114,4096,9089,3692
1,0,58,0,4114,4096,9058,3684
1,0,59,0,4114,4096,9063,3684
1,0,60,0,4114,4096,9112,3689
1,0,61,0,4114,4096,9105,3711
1,0,62,0,4114,4096,9089,3698
1,0,63,0,4114,4096,9037,3702
1,0,64,0,4114,4096,9081,3693
1,0,65,0,4114,4096,9094,3701
1,0,66,0,4114,4096,9028,3701
1,0,67,0,4114,4096,9051,3669
1,0,68,0,4114,4096,9101,3705
1,0,69,0,4114,4096,9393,3707
1,0,70,0,4114,4096,9078,3685
1,0,71,0,4114,4096,9011,3709
1,0,72,0,4114,4096,9070,3691
1,0,73,0,2088,4096,10819,5402
1,0,74,0,4114,4096,9089,3701
1,0,75,0,4114,4096,9230,3758
1,0,76,0,4114,4096,9269,3717
1,0,77,0,4114,4096,9056,3728
1,0,78,0,4114,4096,9360,3692
1,0,79,0,3534,4096,48576,10786
1,0,80,0,4114,4096,9136,3794
1,0,81,0,4114,4096,9416,3714
1,0,82,0,674,4096,23379,10954
1,0,83,0,4114,4096,9150,3714
1,0,84,0,4114,4096,9109,3732
1,0,85,0,4114,4096,9278,3696
1,0,86,0,4114,4096,9137,3691
1,0,87,0,4114,4096,9089,3686
