cache_invalidation_method_compress,cache_invalidation_method_decompress,page_number,iteration_number,compressed_size,uncompressed_size,compression_time,decompression_time
1,0,1,0,53,4096,113921,5914
1,0,2,0,406,4096,95015,13953
1,0,3,0,690,4096,107366,18339
1,0,4,0,124,4096,89001,9922
1,0,5,0,1365,4096,127959,25167
1,0,6,0,746,4096,109590,20336
1,0,7,0,1096,4096,116204,27901
1,0,8,0,1015,4096,114360,22200
1,0,9,0,1142,4096,115896,24783
1,0,10,0,1612,4096,110102,19322
1,0,11,0,1729,4096,128210,35872
1,0,12,0,1541,4096,128140,35278
1,0,13,0,1593,4096,129825,29730
1,0,14,0,2384,4096,147069,41778
1,0,15,0,1243,4096,114565,29971
1,0,16,0,404,4096,98902,15757
1,0,17,0,404,4096,92292,13678
1,0,18,0,690,4096,103871,17701
1,0,19,0,986,4096,116774,20944
1,0,20,0,1177,4096,105054,18733
1,0,21,0,1416,4096,125050,29716
1,0,22,0,765,4096,100142,17902
1,0,23,0,1046,4096,123548,27238
1,0,24,0,561,4096,106089,16040
1,0,25,0,958,4096,113455,26470
1,0,26,0,1488,4096,109537,15071
1,0,27,0,2236,4096,118250,30075
1,0,28,0,1440,4096,126027,34490
1,0,29,0,1007,4096,105512,26121
1,0,30,0,902,4096,105146,27456
1,0,31,0,284,4096,92653,12848
1,0,32,0,1535,4096,116974,30772
1,0,33,0,1678,4096,131492,35966
1,0,34,0,103,4096,88219,7408
1,0,35,0,1104,4096,117680,27435
1,0,36,0,1484,4096,129071,33144
1,0,37,0,906,4096,100526,20472
1,0,38,0,786,4096,107709,21364
1,0,39,0,4116,4096,88383,4751
1,0,40,0,4116,4096,82477,4514
1,0,41,0,4116,4096,89069,4466
1,0,42,0,4116,4096,83641,4392
1,0,43,0,4116,4096,97851,2489
1,0,44,0,4116,4096,54986,2492
1,0,45,0,4116,4096,50275,2496
1,0,46,0,4116,4096,53668,2488
1,0,47,0,4116,4096,50503,2497
1,0,48,0,4116,4096,53727,2490
1,0,49,0,4116,4096,53984,2496
1,0,50,0,4116,4096,50616,2496
1,0,51,0,4116,4096,56493,2497
1,0,52,0,4116,4096,54304,2527
1,0,53,0,4116,4096,53806,2492
1,0,54,0,4116,4096,54015,2495
1,0,55,0,4116,4096,51229,2500
1,0,56,0,4116,4096,54084,2500
1,0,57,0,4116,4096,51320,2489
1,0,58,0,4116,4096,55131,2509
1,0,59,0,4116,4096,54981,2503
1,0,60,0,4116,4096,52752,2497
1,0,61,0,4116,4096,56207,2508
1,0,62,0,4116,4096,51141,2484
1,0,63,0,4116,4096,53968,2480
1,0,64,0,4116,4096,53296,2483
1,0,65,0,4116,4096,50427,2483
1,0,66,0,4116,4096,53794,2489
1,0,67,0,4116,4096,57175,2489
1,0,68,0,4116,4096,54324,2481
1,0,69,0,4116,4096,53436,2502
1,0,70,0,4116,4096,50498,2492
1,0,71,0,4116,4096,53173,2477
1,0,72,0,4116,4096,51304,2506
1,0,73,0,2116,4096,54762,3279
1,0,74,0,4116,4096,60886,2505
1,0,75,0,4116,4096,52131,2508
1,0,76,0,4116,4096,54617,2501
1,0,77,0,4116,4096,49999,2535
1,0,78,0,4116,4096,53165,2513
1,0,79,0,3782,4096,71829,12047
1,0,80,0,4116,4096,50436,2571
1,0,81,0,4116,4096,59923,2523
1,0,82,0,654,4096,61115,13153
1,0,83,0,4116,4096,55641,2539
1,0,84,0,4116,4096,52918,2513
1,0,85,0,4116,4096,50730,2508
1,0,86,0,4116,4096,56029,2589
1,0,87,0,4116,4096,51601,2492
1,0,88,0,4116,4096,60339,2486
1,0,89,0,4116,4096,53626,2486
1,0,90,0,4116,4096,50961,2498
1,0,91,0,4116,4096,55264,2484
1,0,92,0,4116,4096,50472,2486
1,0,93,0,4116,4096,54373,2497
1,0,94,0,4116,4096,54325,2483
1,0,95,0,4116,4096,57739,2494
1,0,96,0,2116,4096,53691,3334
1,0,97,0,4116,4096,50696,2516
1,0,98,0,4116,4096,53412,2486
1,0,99,0,4116,4096,55409,2503
1,0,100,0,4116,4096,50685,2482
1,0,101,0,4116,4096,53867,2491
1,0,102,0,4116,4096,57220,2480
1,0,103,0,4116,4096,53730,2493
1,0,104,0,4116,4096,55319,2505
1,0,105,0,4116,4096,50306,2498
1,0,106,0,747,4096,64292,13369
1,0,107,0,4116,4096,51411,2521
1,0,108,0,2116,4096,53919,3159
1,0,109,0,4116,4096,59717,2498
1,0,110,0,4116,4096,50369,2483
1,0,111,0,4116,4096,53376,2480
1,0,112,0,4116,4096,50258,2697
1,0,113,0,4116,4096,52699,2483
1,0,114,0,4116,4096,53841,2477
1,0,115,0,4116,4096,52560,2510
1,0,116,0,4116,4096,60339,2491
1,0,117,0,3293,4096,50149,2735
1,0,118,0,4116,4096,53101,2513
1,0,119,0,4116,4096,53262,2507
1,0,120,0,4116,4096,50563,2514
1,0,121,0,4116,4096,53009,2520
1,0,122,0,4116,4096,50742,2500
1,0,123,0,4116,4096,61684,2508
1,0,124,0,4116,4096,53612,2511
1,0,125,0,4116,4096,49769,2512
1,0,126,0,4116,4096,53090,2619
1,0,127,0,4116,4096,50794,2518
1,0,128,0,3293,4096,53104,2703
1,0,129,0,4116,4096,53257,2514
1,0,130,0,4116,4096,57264,2507
1,0,131,0,4116,4096,54851,2513
1,0,132,0,4116,4096,50370,2511
1,0,133,0,4116,4096,53411,2520
1,0,134,0,4116,4096,53180,2513
1,0,135,0,4116,4096,50650,2518
1,0,136,0,4116,4096,53379,2505
1,0,137,0,4116,4096,57789,2529
1,0,138,0,4116,4096,54829,2511
1,0,139,0,4116,4096,53023,2515
1,0,140,0,4116,4096,49955,2511
1,0,141,0,4116,4096,53085,2506
1,0,142,0,4116,4096,50216,2517
1,0,143,0,4116,4096,54158,2529
1,0,144,0,4116,4096,59683,2501
1,0,145,0,4116,4096,50135,2518
1,0,146,0,4116,4096,54680,2505
1,0,147,0,4116,4096,50450,4989
1,0,148,0,4116,4096,53353,2513
1,0,149,0,4116,4096,53045,2504
1,0,150,0,4116,4096,50920,2509
1,0,151,0,4116,4096,60368,2507
1,0,152,0,4116,4096,29828,1276
1,0,153,0,4116,4096,30302,1276
1,0,154,0,1009,4096,39320,8065
1,0,155,0,4116,4096,30059,1310
1,0,156,0,4116,4096,30496,1285
1,0,157,0,4113,4096,29224,1419
1,0,158,0,4116,4096,36349,1276
1,0,159,0,4116,4096,30444,1277
1,0,160,0,4116,4096,29247,1276
1,0,161,0,4116,4096,31248,1286
1,0,162,0,623,4096,34933,5342
1,0,163,0,4116,4096,30538,1281
1,0,164,0,4116,4096,31052,1275
1,0,165,0,585,4096,39436,5705
1,0,166,0,4116,4096,30462,1305
1,0,167,0,4116,4096,29113,1277
1,0,168,0,4116,4096,30441,1277
1,0,169,0,4116,4096,31633,1276
1,0,170,0,534,4096,33409,4742
1,0,171,0,4116,4096,31278,1293
1,0,172,0,4116,4096,35077,1279
1,0,173,0,4116,4096,30986,1279
1,0,174,0,4116,4096,30448,1278
1,0,175,0,4116,4096,29136,1277
1,0,176,0,4116,4096,31003,1277
1,0,177,0,4116,4096,29618,1287
1,0,178,0,4116,4096,35495,1284
1,0,179,0,4116,4096,37157,1287
1,0,180,0,4116,4096,29458,1277
1,0,181,0,4116,4096,30640,1271
1,0,182,0,4116,4096,29015,1279
1,0,183,0,546,4096,34347,5039
1,0,184,0,4116,4096,30886,1282
1,0,185,0,4116,4096,29034,1278
1,0,186,0,4116,4096,37830,1271
1,0,187,0,4116,4096,29185,1281
1,0,188,0,4116,4096,30339,1276
1,0,189,0,4116,4096,30265,1281
1,0,190,0,4116,4096,29745,1275
1,0,191,0,4116,4096,31223,1274
1,0,192,0,4116,4096,30601,1317
1,0,193,0,4116,4096,36432,1277
1,0,194,0,4116,4096,32241,1272
1,0,195,0,572,4096,32500,5219
1,0,196,0,4116,4096,30277,1278
1,0,197,0,4116,4096,29266,1278
1,0,198,0,4116,4096,30672,1288
1,0,199,0,4116,4096,30958,1282
1,0,200,0,4116,4096,36034,1274
1,0,201,0,4116,4096,31645,1275
1,0,202,0,4116,4096,29760,1276
1,0,203,0,4116,4096,31086,1277
1,0,204,0,4116,4096,30584,1279
1,0,205,0,1146,4096,29109,2065
1,0,206,0,4116,4096,30555,1300
1,0,207,0,4116,4096,33485,1276
1,0,208,0,4116,4096,31741,17511
1,0,209,0,4116,4096,36049,1486
1,0,210,0,4116,4096,32410,1480
1,0,211,0,4116,4096,34732,1478
1,0,212,0,4116,4096,32674,1488
1,0,213,0,4116,4096,34550,1479
1,0,214,0,4116,4096,37974,1473
1,0,215,0,4116,4096,32669,1479
1,0,216,0,4116,4096,34556,1493
1,0,217,0,4116,4096,33908,1478
1,0,218,0,4116,4096,34187,1481
1,0,219,0,4116,4096,34262,1485
1,0,220,0,4116,4096,33398,1483
1,0,221,0,4116,4096,39741,1485
1,0,222,0,4116,4096,33500,1492
1,0,223,0,4116,4096,34650,1513
1,0,224,0,4116,4096,35155,1506
1,0,225,0,3112,4096,44740,10748
1,0,226,0,4116,4096,30888,1297
1,0,227,0,4116,4096,29437,1273
1,0,228,0,4116,4096,35217,1264
1,0,229,0,4116,4096,31076,1264
1,0,230,0,4116,4096,29495,1269
1,0,231,0,4116,4096,30690,1260
1,0,232,0,4116,4096,29372,1259
1,0,233,0,4116,4096,31905,1266
1,0,234,0,4116,4096,31162,1265
1,0,235,0,4116,4096,34310,1260
1,0,236,0,4116,4096,31035,1260
1,0,237,0,3293,4096,29432,1363
1,0,238,0,4116,4096,30831,1284
1,0,239,0,4116,4096,30492,1278
1,0,240,0,4116,4096,29284,1274
1,0,241,0,4116,4096,32344,1272
1,0,242,0,4116,4096,34293,1280
1,0,243,0,4116,4096,30706,1288
1,0,244,0,735,4096,36405,6749
1,0,245,0,4116,4096,29276,1283
1,0,246,0,4116,4096,30691,1274
1,0,247,0,4116,4096,29114,1279
1,0,248,0,4116,4096,30826,1277
1,0,249,0,4116,4096,36518,1277
1,0,250,0,4116,4096,29618,1274
1,0,251,0,611,4096,34137,5458
1,0,252,0,4116,4096,29253,1283
1,0,253,0,4116,4096,31103,1283
