cache_invalidation_method_compress,cache_invalidation_method_decompress,page_number,iteration_number,compressed_size,uncompressed_size,compression_time,decompression_time
1,0,1,0,39,4096,502559,79115
1,0,2,0,294,4096,649378,91861
1,0,3,0,507,4096,646460,75070
1,0,4,0,117,4096,415482,79798
1,0,5,0,1050,4096,1021386,119179
1,0,6,0,586,4096,660305,96293
1,0,7,0,798,4096,733429,37948
1,0,8,0,778,4096,335376,35312
1,0,9,0,813,4096,367247,51997
1,0,10,0,1101,4096,731058,60348
1,0,11,0,1230,4096,743015,68962
1,0,12,0,1241,4096,507248,68418
1,0,13,0,1285,4096,512236,67939
1,0,14,0,1763,4096,691798,78751
1,0,15,0,994,4096,395978,58760
1,0,16,0,313,4096,268780,34730
1,0,17,0,293,4096,326382,44808
1,0,18,0,507,4096,319316,35310
1,0,19,0,699,4096,364640,53818
1,0,20,0,955,4096,304923,55893
1,0,21,0,1159,4096,468868,66624
1,0,22,0,635,4096,301576,48454
1,0,23,0,848,4096,387658,56633
1,0,24,0,501,4096,306877,37441
1,0,25,0,707,4096,409484,52201
1,0,26,0,617,4096,543628,49972
1,0,27,0,1652,4096,316042,41286
1,0,28,0,1163,4096,259167,38141
1,0,29,0,758,4096,240487,31860
1,0,30,0,719,4096,201014,30265
1,0,31,0,232,4096,147800,25377
1,0,32,0,1190,4096,232213,35983
1,0,33,0,1280,4096,293133,38528
1,0,34,0,99,4096,119033,22414
1,0,35,0,797,4096,234550,31762
1,0,36,0,1182,4096,249680,37965
1,0,37,0,705,4096,180582,28616
1,0,38,0,616,4096,166793,26963
1,0,39,0,4079,4096,204687,38286
1,0,40,0,4078,4096,200271,38324
1,0,41,0,4106,4096,212068,38260
1,0,42,0,3876,4096,233378,44662
1,0,43,0,4086,4096,204592,39173
1,0,44,0,4084,4096,200823,38672
1,0,45,0,4086,4096,200392,39574
1,0,46,0,4069,4096,202787,38158
1,0,47,0,4093,4096,202369,37965
1,0,48,0,4077,4096,203100,38604
1,0,49,0,4093,4096,201070,38016
1,0,50,0,4105,4096,199109,37523
1,0,51,0,4084,4096,199306,37686
1,0,52,0,4077,4096,202559,38058
1,0,53,0,4092,4096,201151,37584
1,0,54,0,4088,4096,199881,37247
1,0,55,0,4083,4096,199575,37390
1,0,56,0,4096,4096,199939,37821
1,0,57,0,4091,4096,200904,38502
1,0,58,0,4094,4096,199695,37035
1,0,59,0,4087,4096,201323,37339
1,0,60,0,4097,4096,201244,37077
1,0,61,0,4094,4096,201811,38082
1,0,62,0,4091,4096,201433,37819
1,0,63,0,4083,4096,203003,38225
1,0,64,0,4083,4096,198240,36794
1,0,65,0,4083,4096,218336,38240
1,0,66,0,4097,4096,201012,37944
1,0,67,0,4089,4096,199514,37838
1,0,68,0,4093,4096,198641,37110
1,0,69,0,4092,4096,199507,34143
1,0,70,0,4090,4096,186369,35199
1,0,71,0,4097,4096,187531,35131
