cache_invalidation_method_compress,cache_invalidation_method_decompress,page_number,iteration_number,compressed_size,uncompressed_size,compression_time,decompression_time
1,0,1,0,24,4096,242574,45857
1,0,2,0,261,4096,90736,39252
1,0,3,0,508,4096,74064,25279
1,0,4,0,88,4096,21195,9899
1,0,5,0,950,4096,108265,36447
1,0,6,0,568,4096,78661,27496
1,0,7,0,933,4096,95011,44228
1,0,8,0,838,4096,86326,28802
1,0,9,0,785,4096,80483,41164
1,0,10,0,793,4096,96282,35667
1,0,11,0,1267,4096,112635,52056
1,0,12,0,1286,4096,114663,51521
1,0,13,0,1326,4096,116019,48550
1,0,14,0,1788,4096,125665,52924
1,0,15,0,1053,4096,94642,42084
1,0,16,0,343,4096,59210,20504
1,0,17,0,299,4096,55486,29423
1,0,18,0,508,4096,69234,24293
1,0,19,0,701,4096,80770,31960
1,0,20,0,941,4096,93258,35141
1,0,21,0,1147,4096,103691,48421
1,0,22,0,557,4096,71708,24301
1,0,23,0,889,4096,92356,32520
1,0,24,0,513,4096,63839,21573
1,0,25,0,761,4096,97789,54036
1,0,26,0,422,4096,59478,27862
1,0,27,0,1689,4096,59225,23982
1,0,28,0,1186,4096,56437,23967
1,0,29,0,754,4096,42725,19446
1,0,30,0,758,4096,46039,21808
1,0,31,0,227,4096,27128,12861
1,0,32,0,1252,4096,56689,24107
1,0,33,0,1356,4096,65133,29152
1,0,34,0,73,4096,11573,5154
1,0,35,0,723,4096,51341,23240
1,0,36,0,1247,4096,58580,24950
1,0,37,0,740,4096,48596,20642
1,0,38,0,608,4096,41758,14437
1,0,39,0,4106,4096,34365,2797
1,0,40,0,4106,4096,34286,2698
1,0,41,0,4106,4096,39263,2629
1,0,42,0,3936,4096,40788,17257
1,0,43,0,4106,4096,33749,2715
1,0,44,0,4106,4096,33487,2664
1,0,45,0,4106,4096,33409,2681
1,0,46,0,4106,4096,33185,2664
1,0,47,0,4106,4096,32757,2688
1,0,48,0,4106,4096,33378,2641
1,0,49,0,4106,4096,32750,2689
1,0,50,0,4106,4096,32836,2662
1,0,51,0,4106,4096,33115,2659
1,0,52,0,4106,4096,32822,8159
1,0,53,0,4106,4096,34207,2893
1,0,54,0,4106,4096,33294,2659
1,0,55,0,4106,4096,32978,2646
1,0,56,0,4106,4096,33440,2654
1,0,57,0,4106,4096,32804,2666
1,0,58,0,4106,4096,33089,2637
1,0,59,0,4106,4096,32757,2643
1,0,60,0,4106,4096,32799,2609
1,0,61,0,4106,4096,32712,2672
1,0,62,0,4106,4096,32422,2640
1,0,63,0,4106,4096,32696,2681
1,0,64,0,4106,4096,32701,2632
1,0,65,0,4106,4096,32908,2640
1,0,66,0,4106,4096,32484,2653
1,0,67,0,4106,4096,32805,2644
1,0,68,0,4106,4096,32867,2647
1,0,69,0,4106,4096,32762,4130
1,0,70,0,4106,4096,34221,2892
1,0,71,0,4106,4096,32746,2655
1,0,72,0,4106,4096,33205,2673
1,0,73,0,1984,4096,33149,13186
1,0,74,0,4106,4096,32734,2640
1,0,75,0,4106,4096,32817,2664
1,0,76,0,4106,4096,33287,2664
1,0,77,0,4106,4096,32609,2643
1,0,78,0,4106,4096,32790,2655
1,0,79,0,2195,4096,61829,24879
1,0,80,0,4106,4096,33441,2671
